"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
485,10020,$1000.00,"Descuento por devolucion de modelo negro"
486,10024,$150.00,"3 prendas orden 3011"
487,10028,$240.00,"3 prendas orden 3042"
488,10069,$640.00,"8 prendas orden 3057"
489,10072,$1000.00,"Faltante de 96 prendas (solo la tela)"
490,10075,$6000.00,"orden 3058 modelo 76539 panalizacion del cliente $1000 por empaque  $ 2500 revision al 100 % ciento $500 entrega fallida $2000"
491,10076,$5750.00,"orden 3020 modelo 71173 gastos de entrega $1,250 empaque $2,500 entrega fallida $2,000"
492,10077,$4000.00,"orden 3015 modelo 64997 trasnporte $2,000  mal cocido$ 2,000"
493,10082,$4260.00,"orden 3057 modelo 76534 personal empaque $ 1,800  penalizacion $1,160  entrega fallida $2,000 por recibir mercancia en dia sabado $ 300"
494,10111,$320.00,"4 prendas orden 3029"
495,10198,$6900.00,"- 3,000 penalizaci¢n del cliente 
- 1,800 personal para entrega y no llego
- 600 transporte en la noche
- 1,500 Transporte entrega"
496,10204,$300.00,"3 sudaderas orden 3108"
497,10257,$600.00,"6 prendas orden 3105"
498,10296,$240.00,"3 prendas orden 3050"
499,10298,$720.00,"9 prendas orden 3074"
500,10301,$1120.00,"14 prendas ordenes 3078 y 3079"
